Title,Accession Number,Title2,Museum Name,Gallery Name,Object Type,Main Material,Medium,Manufacturing Technique,Main Artist,Artist's Nationality,Artist's Life Date / Bio Data,Author,Country,Provenance,Origin Place,Find Place,Scribe,Style,School,Patron/Dynasty,Period / Year of Work,Inscription,Mint,Weight,Brief Description,Detailed Description,Coin Description Obverse,Coin Description Reverse,Denomination,Dimensions,Component Material II,Tribe,Costume,Culture,Component Material III
Half Sovereign of Queen Victoria,AM-GC-99.22,Half Sovereign of Queen Victoria,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,British Monarchy,C. 19th Century CE,,Not Known,,"One gold half Sovereign (Ginni).Victoria,Dei grg, Britt.Rigina (def)                                        Indian Emp.","One gold half Sovereign (Ginni).Victoria,Dei grg, Britt.Rigina (def) Indian Emp.",,,,1.9 cm,,,,,
Half Sovereign of Edward VII,AM-GC-99.23,Half Sovereign of Edward VII,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,British Monarchy,C. 20th Century CE,,Not Known,,"One gold half Sovereign (Ginni). Edward VII DG,Britt. O M N R E X                            F.P. IND- IMP.","One gold half Sovereign (Ginni). Edward VII DG,Britt. O M N R E X F.P. IND- IMP.",,,,1.9 cm,,,,,
Half Sovereign of British,AM-GC-99.24,Half Sovereign of British,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,British Monarchy,. 20th Century CE,,Not Known,,One gold half Sovereign (Ginni). George IVS VDG. Britt OMN. Rex FD Ind PMP.,One gold half Sovereign (Ginni). George IVS VDG. Britt OMN. Rex FD Ind PMP.,,,,1.9 cm,,,,,
Swordsman Type Coin,AM-GC-99.25,Swordsman Type Coin of Chandragupta II,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,,Swordsman Type Coin of Chandragupta II depicts king and Goddess.,Swordsman Type Coin of Chandragupta II depicts king and Goddess.,"King standing facing left, holding a sword in his left hand near the waist. King offering on altar. Legend not visible.","Goddess standing facing left. Right hand raised up to waist while the left hanging behind. Legend ""......Krama....""",,1.9 cm,,,,,
Horseman Type Coin,AM-GC-99.26,Horseman Type Coin of Kumaragupta I,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 4th Century CE,,Not Known,,Horseman Type Coin of Kumaragupta I depicts King and goddess.,Horseman Type Coin of Kumaragupta I depicts King and goddess.,King riding a horse facing left.,"Goddess seated on stool facing a peacock. A symbol on the upper right hand. Legend ""Ajit Mahendra"".",,1.8 cm,,,,,
Archer Type Coin,AM-GC-99.27,Archer Type Coin of Gupta,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Gupta,C. 6th Century CE,,Not Known,,Archer Type Coin of Gupta depicts King and Goddess.,Archer Type Coin of Gupta depicts King and Goddess.,"King standing left, nimbate, with a bow in left hand, Garuda standard behind extended right hand. Name """"Nar Singh"""" or """"Na"""", """"Ra"""", """"Va"""", """"Na"""" written vertically under the left arm. """"Ga"""" in between the feet. Vishnugupta or Narsimhagupta.",Goddess seated on lotus. Legend not visible. Rim cut at one corner.,,2.2 cm,,,,,
Standing King Type Coin,AM-GC-99.54,Standing King Type Coin of Kedar Kushana,"Allahabad Museum, Allahabad",NA,Coin,Gold,Gold,Casting,Not Known,Indian,Not Known,,India,,Not Known,Not Known,Inscribed,,,Kidar Kushana,C. 3rd Century CE,,Not Known,,Standing King Type Coin of Kedar Kushana depicts king and seated Goddess.,Standing King Type Coin of Kedar Kushana depicts king and seated Goddess.,"King standing facing front. King on altar. Legend """"keda"""" written below the left arm. Face rubbed.",Seated goddess. Legend blurred. Coin of crude shape.,,2.2 cm,,,,,
Bazuband,AM-JWL-1148,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bazuband made of metal.,,,,16 x 3.5 cm,,,,,
Bazuband,AM-JWL-1149,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bazuband (an arm ornament) made of metal.,,,,16 x 3.5 cm,,,,,
Hemel,AM-JWL-1150,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Nine coins are being tied in a thread appearing like a necklace. A comparatively big and designer shaped metal piece is attached as a pendent hanging in the centre.,,,,50 cm,,,,,
Bandi,AM-JWL-1151,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bundi with perfuratted design made of metal.,,,,6.7 x 5.3 cm,,,,,
Hansuli,AM-JWL-1152,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Hansuli made of metal.,,,,11x10.5 cm,,,,,
Pariyan,AM-JWL-1153,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pariyan made of metal.,,,,6.8 x 7.5 cm,,,,,
Pariyan,AM-JWL-1154,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pariyan made of metal.,,,,6.8 x 7.5 cm,,,,,
Chhani,AM-JWL-1155,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Chhani made of metal.,,,,7 cms,,,,,
Chhani,AM-JWL-1156,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Chhani made of metal.,,,,7 cm,,,,,
Kara,AM-JWL-1157,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,"Kara made of metal, broken into two part.",,,,11 x 8.7 cm,,,,,
Pachhela,AM-JWL-1158,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pachhela made of metal.,,,,7.5 cms,,,,,
Pachhela,AM-JWL-1159,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pachhela made of metal.,,,,7.5 cms,,,,,
Anwat,AM-JWL-1160,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Anwat (toe ornament) made of metal.,,,,3.5 x 3 cm,,,,,
Anwat,AM-JWL-1161,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Anwat (toe ornament) made of metal.,,,,4.3 x 3.3 cm,,,,,
Armlet,AM-JWL-1162,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Armlet made of metal.,,,,5.5 x 5 cm,,,,,
Kara,AM-JWL-1163,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Kara made of metal.,,,,6.5 x 6 cm,,,,,
Pauhnchi,AM-JWL-1164,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pauhnchi made of metal.,,,,6 cm,,,,,
Bichhia,AM-JWL-1165,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bichhia made of metal.,,,,3.5 cm,,,,,
Bichhia,AM-JWL-1166,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bichhia made of metal.,,,,3 cm,,,,,
Bichhia,AM-JWL-1167,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bichhia made of metal.,,,,3.5 cm,,,,,
Bichhia,AM-JWL-1168,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bichhia made of metal.,,,,3.5 cm,,,,,
Bichhia,AM-JWL-1169,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bichhia made of metal.,,,,3.5 cm,,,,,
Bichhia,AM-JWL-1170,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bichhia made of metal.,,,,3.5 cms,,,,,
Paizeb,AM-JWL-1171,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Paizeb with Ghoonghru made of metal.,,,,15.5 cm,,,,,
Paizeb,AM-JWL-1172,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Paizeb with Ghoonghru made of metal.,,,,15.5 cm,,,,,
Chhanni,AM-JWL-1173,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,A small size Chhanni made of metal.,,,,6.5 cm,,,,,
Chhanni,AM-JWL-1174,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,A small size Chhanni made of metal.,,,,6.5 cm,,,,,
Pazeb,AM-JWL-1175,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,"Pazeb made of metal, broken into three parts.",,,,8.5 cm,,,,,
Nigruhi,AM-JWL-1177,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Nigruhi made of metal.,,,,11.2 x 7 cm,,,,,
Anwat,AM-JWL-1178,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Anwat made of metal.,,,,7.5 x 7 cm,,,,,
Bracelet,AM-JWL-1179,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bracelet made of metal.,,,,8 cm,,,,,
Bracelet,AM-JWL-1180,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bracelet made of metal.,,,,8 cm,,,,,
Anklet,AM-JWL-1181,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,An anklet made of metal.,,,,8.5 cms,,,,,
Pataila Bangle,AM-JWL-1182,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pataila bangle made of metal.,,,,4.6 cm,,,,,
Pataila Bangle,AM-JWL-1183,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pataila bangle made of metal.,,,,4.6 cm,,,,,
Panhuchi,AM-JWL-1184,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Panhuchi made of metal.,,,,6.5 cm,,,,,
Bichhia,AM-JWL-1186,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bichhia made of metal.,,,,3.5 cm,,,,,
Paizana,AM-JWL-1187,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Paizana made of metal.,,,,6.5 cm,,,,,
Paizana,AM-JWL-1188,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Paizana made of metal.,,,,6.5 cm,,,,,
Dohri,AM-JWL-1189,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Dohri made of metal.,,,,6.5 cms,,,,,
Dohri,AM-JWL-1190,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Dohri made of metal.,,,,6.5 cms,,,,,
Chura,AM-JWL-1191,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Chura of bell made of metal.,,,,10 cm,,,,,
Chura,AM-JWL-1192,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,"Chura of bell, made of metal.",,,,10 cm,,,,,
Jhen zhain,AM-JWL-1193,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Jhen zhain made of metal.,,,,11.5 x 9.5 cm,,,,,
Jhan Zhain,AM-JWL-1194,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Jhan zhain made of metal.,,,,11.5 x 9.5 cm,,,,,
Bichhia,AM-JWL-1195,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Bichhia made of metal.,,,,3.7 cm,,,,,
Bichhia,AM-JWL-1196,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,32/2,,,,,,,20th century CE,,,,,Bichhia (Toe ring) made of metal.,,,,3.7 cm,,,,,
Kakna,AM-JWL-1198,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Kakna made of metal.,,,,7.9 cms,,,,,
Kutri,AM-JWL-1199,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Kutri made of metal.,,,,7.2 cm,,,,,
Kutri,AM-JWL-1200,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Kutri made of metal.,,,,7.2 cm,,,,,
Toe Ornament,AM-JWL-1201,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Toe ornament made of metal.,,,,2 cm,,,,,
Toe Ornament,AM-JWL-1202,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Toe ornament made of metal.,,,,2 cm,,,,,
Toe Ornament,AM-JWL-1203,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Toe ornament made of metal.,,,,2 cms,,,,,
Toe Ornament,AM-JWL-1204,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Toe ornament made of metal.,,,,2 cm,,,,,
Toe Ornament,AM-JWL-1205,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Toe ornament made of metal.,,,,2 cm,,,,,
Toe Ornament,AM-JWL-1206,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Toe ornament made of metal.,,,,2 cm,,,,,
Dohra,AM-JWL-1207,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Dohra bracelet made of metal.,,,,7 cm,,,,,
Dohra,AM-JWL-1208,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Dohra bracelet made of metal.,,,,7 cm,,,,,
Paizani,AM-JWL-1209,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Paizani made of metal.,,,,9.5 cms,,,,,
Jhanjh,AM-JWL-1210,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Jhanjh made of metal.,,,,13 cm,,,,,
Tora,AM-JWL-1211,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Tora made of metal.,,,,8.4 cm,,,,,
Pairi,AM-JWL-1212,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pairi made of metal.,,,,12 cm,,,,,
Pairi,AM-JWL-1213,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,"A pairi  made of metal, broken into two parts.",,,,12 cm,,,,,
Pairi,AM-JWL-1214,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pairi made of metal.,,,,13.5 cm,,,,,
Pairi,AM-JWL-1215,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Pairi made of metal.,,,,13.5 cm,,,,,
Kankania,AM-JWL-1216,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Kakania made of metal.,,,,6 cm,,,,,
Kakania,AM-JWL-1217,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Kakania made of metal.,,,,6 cm,,,,,
Kakana,AM-JWL-1218,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Kakana of made of bronz.,,,,10.5 cm,,,,,
Kakna,AM-JWL-1219,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Kakna made of brass.,,,,10.5 cm,,,,,
Hath Kakain,AM-JWL-1220,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Hath Kakain made of metal.,,,,9.4 cm,,,,,
Hath Kakain,AM-JWL-1221,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Hath Kakain made of metal.,,,,9.4 cm,,,,,
Paizan,AM-JWL-1222,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Paizani made of metal.,,,,14 cm,,,,,
Aiuri,AM-JWL-1223,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Foot ornament 'Viuri'made of metal.,,,,12 cms,,,,,
Aiuri,AM-JWL-1224,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Aiuri made of metal.,,,,12 cm,,,,,
Jhanjh,AM-JWL-1225,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Jhanjh made of metal.,,,,8 cm,,,,,
Chura,AM-JWL-1226,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Chura made of metal.,,,,5.5 cm,,,,,
Chura,AM-JWL-1227,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Chura made of metal.,,,,7.5 cm,,,,,
Chura,AM-JWL-1228,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,"Chura, a type of bangle made of metal.",,,,5.2 cm,,,,,
Chura,AM-JWL-1230,,"Allahabad Museum, Allahabad",Decorative Art Gallery,Jewelry,Metal,,Moulding,,,,,India,,,,,,,,20th century CE,,,,,Chura made of metal.,,,,8 cm,,,,,
